question_id,approval_status,reviewer_notes,year,exam,question_number,question,option_a,option_b,option_c,option_d,correct_option,subject,quality_score,source_pdf,source_pages,topic,sub_topic,section_title,evidence_excerpt,explanation,takeaway
"ca-2025-d2372e217587","pending","","2025","PT365 Current Affairs 2025","1","The 'World Heritage Outlook' and the 'Report on Protected Areas' are published by which of the following organizations?","United Nations Educational, Scientific and Cultural Organization (UNESCO)","United Nations Environment Programme (UNEP)","International Union for Conservation of Nature (IUCN)","World Wide Fund for Nature (WWF)","C","Environment","90","7033094643_PT365 Environment_w.pdf","6","Biodiversity","IUCN World Conservation Congress and Red List","IUCN World Conservation Congress and Organizational Overview","Publishes IUCN Report on Protected Areas and IUCN World Heritage Outlook.","The International Union for Conservation of Nature (IUCN) publishes both the IUCN Report on Protected Areas and the IUCN World Heritage Outlook.","While UNESCO is responsible for officially designating World Heritage sites, the IUCN acts as the official advisory body on natural sites and publishes the World Heritage Outlook to track their conservation status."
"ca-2025-c4aa12fcca6b","pending","","2025","PT365 Current Affairs 2025","2","With reference to the IUCN World Conservation Congress 2025, consider the following statements:
1. It adopted a 20-year Strategic Vision titled 'Unite for Nature on the Path to 2045'.
2. It hosted the first-ever World Summit of Indigenous Peoples and Nature.
3. It adopted a motion advocating for a just phase-out of fossil fuels.

How many of the above statements are correct?","Only one","Only two","All three","None","C","Environment","85","7033094643_PT365 Environment_w.pdf","6","Biodiversity","IUCN World Conservation Congress and Red List","IUCN World Conservation Congress and Organizational Overview","The IUCN World Conservation Congress 2025 took place in Abu Dhabi, adopting a 20-year Strategic Vision 'Unite for Nature on the Path to 2045'. Key resolutions included a just phase-out of fossil fuels, recognizing wild animals as climate allies, and the first World Summit of Indigenous Peoples and Nature.","Statement 1 is correct: The Congress adopted a 20-year Strategic Vision titled 'Unite for Nature on the Path to 2045'.
Statement 2 is correct: The event featured the first World Summit of Indigenous Peoples and Nature.
Statement 3 is correct: A key resolution of the Congress included the first-ever motion advocating for a just phase-out of fossil fuels.","The IUCN World Conservation Congress 2025 in Abu Dhabi resulted in significant outcomes, including the 'Unite for Nature on the Path to 2045' vision, the recognition of wild animals as climate allies, and the inaugural World Summit of Indigenous Peoples and Nature."
"ca-2025-17e66ded24ea","pending","","2025","PT365 Current Affairs 2025","3","Consider the following statements regarding India's National Red List Roadmap and Vision 2025-2030:

1. It aims to publish National Red Data Books for both flora and fauna by 2030.
2. The National Biodiversity Authority (NBA) is the designated nodal agency for its implementation.
3. It is internationally aligned with the targets of the Kunming-Montreal Global Biodiversity Framework (KMGBF).

How many of the above statements are correct?","Only one","Only two","All three","None","B","Environment","85","7033094643_PT365 Environment_w.pdf","6,7","Biodiversity","IUCN World Conservation Congress and Red List","India's National Red List Roadmap and Vision 2025-2030","Goal to publish National Red Data Books for flora and fauna by 2030.
Nodal Agency: Union Ministry of Environment, Forest & Climate Change.
Internationally aligned with CBD and Kunming-Montreal Global Biodiversity Framework (KMGBF).","Statement 1 is correct: The roadmap is a 5-year initiative with the goal of publishing National Red Data Books for both flora and fauna by 2030.
Statement 2 is incorrect: The nodal agency for the roadmap is the Union Ministry of Environment, Forest & Climate Change (MoEFCC), not the National Biodiversity Authority.
Statement 3 is correct: The initiative is internationally aligned with the Convention on Biological Diversity (CBD) and the Kunming-Montreal Global Biodiversity Framework (KMGBF).","India's National Red List Roadmap (2025-2030) is a MoEFCC-led initiative aiming to assess ~11,000 species and publish Red Data Books for flora and fauna, aligning with global frameworks like the KMGBF."
"ca-2025-6f7e064c387a","pending","","2025","PT365 Current Affairs 2025","4","Consider the following statements regarding the key instruments of the International Union for Conservation of Nature (IUCN):
1. The IUCN Red List of Threatened Species classifies species into nine distinct categories.
2. The IUCN Green Status of Species measures the extinction risk of species using a Green Score ranging from 0 to 100%.
3. The IUCN Green Status evaluates species recovery and conservation success across eight categories.

How many of the statements given above are correct?","Only one","Only two","All three","None","B","Environment","85","7033094643_PT365 Environment_w.pdf","7","Biodiversity","IUCN World Conservation Congress and Red List","IUCN Key Instruments: Red List and Green Status of Species","IUCN Red List divides species into 9 categories... IUCN Green Status of Species launched in 2021 to measure conservation success... Green Status includes 8 categories and a Green Score (0-100%) indicating proximity to full recovery.","Statement 1 is correct: The IUCN Red List divides species into 9 categories (from Not Evaluated to Extinct). Statement 2 is incorrect: The IUCN Green Status measures conservation success and recovery, not extinction risk (which is the primary focus of the Red List). Statement 3 is correct: The Green Status complements the Red List by measuring recovery across 8 categories using a Green Score.","The IUCN Red List (9 categories) assesses extinction risk, whereas the IUCN Green Status (8 categories) measures conservation success and proximity to full recovery."
"ca-2025-fa78228d1640","pending","","2025","PT365 Current Affairs 2025","5","Consider the following statements regarding the IUCN Species Survival Commission (SSC):

1. It was established following the 1992 Earth Summit to monitor global species extinction rates.
2. It is a science-based network comprising volunteer experts from around the world.
3. An Indian conservationist has recently been elected as the Chair of the IUCN SSC for the 2025-2029 term.

How many of the above statements are correct?","Only one","Only two","All three","None","B","Environment","88","7033094643_PT365 Environment_w.pdf","8","Biodiversity","IUCN Commissions and Green Status","IUCN Species Survival Commission (SSC)","Established in 1949, it is a science-based network of more than 10,500 volunteer experts. India’s renowned wildlife conservationist, Vivek Menon, has been elected as the new Chair of the IUCN Species Survival Commission (SSC) for the 2025-2029.","Statement 1 is incorrect: The IUCN SSC was established in 1949, long before the 1992 Earth Summit.
Statement 2 is correct: It operates as a science-based network of more than 10,500 volunteer experts rather than formal government representatives.
Statement 3 is correct: India's renowned wildlife conservationist, Vivek Menon, has been elected as the new Chair of the IUCN SSC for the 2025-2029 term.","The IUCN SSC is a legacy institution (est. 1949) that leverages global volunteer scientific expertise to advise the IUCN on biodiversity conservation. Recently, Indian conservationist Vivek Menon was elected as its Chair."
"ca-2025-76b95ecce86e","pending","","2025","PT365 Current Affairs 2025","6","Consider the following pairs of Indian natural heritage sites and their conservation status as per the IUCN World Heritage Outlook 4 Report:

1. Khangchendzonga National Park : Good
2. Western Ghats : Significant concern
3. Sundarbans National Park : Good with some concerns

How many of the above pairs are correctly matched?","Only one pair","Only two pairs","All three pairs","None of the pairs","B","Environment","85","7033094643_PT365 Environment_w.pdf","8","Biodiversity","IUCN Commissions and Green Status","IUCN World Heritage Outlook 4 Report","It categorises Western Ghats and 2 national parks (NP) in India – Assam’s Manas NP and West Bengal’s Sundarbans NP as being of “significant concern”. Other findings: Only Khangchendzonga National Park remained ‘Good’ in Conservation Outlook Rating. Sundarbans National Park: Witnessed Deterioration in its conservation outlook status from ‘Good with some Concerns’ to ‘Significant Concerns’ from 2020-2025.","Pair 1 is correctly matched: Khangchendzonga National Park is the only site in India that remained 'Good' in the Conservation Outlook Rating.
Pair 2 is correctly matched: The Western Ghats is categorized as being of 'significant concern'.
Pair 3 is incorrectly matched: The Sundarbans National Park witnessed a deterioration in its conservation outlook status from 'Good with some Concerns' to 'Significant Concerns'.","Familiarity with the specific IUCN Conservation Outlook Ratings for major Indian World Heritage sites is crucial. Sundarbans NP, Manas NP, and the Western Ghats are currently of 'significant concern'."
"ca-2025-e4ff38588861","pending","","2025","PT365 Current Affairs 2025","7","Difference between Asiatic and African Lions: Asiatic Lion has sparser and shorter mane (ears visible), a distinctive longitudinal skin fold along the belly, and is slightly smaller than African lions.
Consider the following statements regarding the differences between Asiatic and African lions:

1. Asiatic lions are generally larger in body size than African lions.
2. Male Asiatic lions have sparser and shorter manes compared to African lions.
3. A distinctive longitudinal skin fold along the belly is present in Asiatic lions but is usually absent in African lions.

How many of the statements given above are correct?","Only one","Only two","All three","None","B","Environment","85","7033094643_PT365 Environment_w.pdf","8","Biodiversity","IUCN Commissions and Green Status","Green Status Assessment for the Lion","Difference between Asiatic and African Lions: Asiatic Lion has sparser and shorter mane (ears visible), a distinctive longitudinal skin fold along the belly, and is slightly smaller than African lions.","Statement 1 is incorrect: Asiatic lions are slightly smaller than African lions.
Statement 2 is correct: Male Asiatic lions have sparser and shorter manes compared to African lions, making their ears almost always visible.
Statement 3 is correct: Asiatic lions have a distinctive longitudinal skin fold along the belly, which is a key morphological trait usually absent in African lions.","Asiatic lions differ from African lions by being slightly smaller, having sparser manes (which makes their ears visible), and possessing a distinctive longitudinal belly skin fold."
"ca-2025-ee8f41cf1d97","pending","","2025","PT365 Current Affairs 2025","8","Consider the following passage:

This wildlife sanctuary is characterized by vegetation that includes Gorad, Babul, and Bamboo. Its fauna comprises species such as Sambar, chital, and chinkara. Located in Gujarat, it is currently emerging as a crucial secondary habitat for the conservation of Asiatic Lions.

Which of the following protected areas is described in the passage given above?","Narayan Sarovar Sanctuary","Barda Wildlife Sanctuary","Shoolpaneshwar Wildlife Sanctuary","Jessore Sloth Bear Sanctuary","B","Environment","90","7033094643_PT365 Environment_w.pdf","9","Biodiversity","UNESCO Biosphere Reserves and WPA 1972","Asiatic Lions Conservation and Barda Wildlife Sanctuary","Barda Wildlife Sanctuary (Porbandar and Devbhumi Dwarka, Gujarat) is emerging as a second home for Asiatic Lions... Barda's key flora includes Gorad, Babul, and Bamboo, and fauna includes Sambar, chital, and chinkara.","Barda Wildlife Sanctuary, located in Porbandar and Devbhumi Dwarka districts of Gujarat, is emerging as a second home for Asiatic Lions. Its key flora includes Gorad, Babul, and Bamboo, and its fauna includes Sambar, chital, and chinkara.","Barda Wildlife Sanctuary is being developed as an alternative habitat for Asiatic Lions to reduce the risks associated with a single isolated population in Gir."
"ca-2025-684c64cf0e9a","pending","","2025","PT365 Current Affairs 2025","9","With reference to the Wildlife (Protection) Amendment Act, 2022, which of the following statements correctly describes the status of species listed under the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES)?","They are distributed across Schedules I and II based on their threat perception in India.","They are placed under Schedule IV of the Act to align domestic laws with international trade regulations.","They are categorized under Schedule V to permit regulated hunting and culling.","They are exempt from the schedules of the Act and governed by a separate management authority.","B","Environment","88","7033094643_PT365 Environment_w.pdf","9","Biodiversity","UNESCO Biosphere Reserves and WPA 1972","Asiatic Lions Conservation and Barda Wildlife Sanctuary","Under the WPA 2022 amendment, CITES-listed species are now under Schedule IV.","The Wildlife (Protection) Amendment Act, 2022 introduced a dedicated schedule for species protected under CITES. Under this amendment, CITES-listed species are placed under Schedule IV of the Act.","The WPA 2022 amendment streamlined the schedules of the Act and specifically designated Schedule IV for the implementation of CITES provisions in India."
"ca-2025-e9b5fc5991ba","pending","","2025","PT365 Current Affairs 2025","10","Read the following passage and answer the question that follows:

""It is situated in a rain-shadow zone representing a cold desert biome. It encompasses the Pin Valley National Park and Chandratal. Its cultural landscape is characterized by Gompas and Mani Walls, and it hosts fauna like the Snow Leopard and Himalayan Ibex.""

Which one of the following Biosphere Reserves is best described by the above passage?","Nanda Devi Biosphere Reserve","Cold Desert Biosphere Reserve","Khangchendzonga Biosphere Reserve","Dihang-Dibang Biosphere Reserve","B","Environment","90","7033094643_PT365 Environment_w.pdf","9,10","Biodiversity","UNESCO Biosphere Reserves and WPA 1972","UNESCO's World Network of Biosphere Reserves (WNBR) & Cold Desert BR","The Cold Desert BR in Himachal Pradesh covers Pin Valley NP, Chandratal, and Sarchu & Kibber WLS. It features a cold desert biome (rain-shadow zone), distinct Buddhist culture (Gompas, Chorten, Mani Walls), and fauna like the Snow Leopard and Himalayan Ibex.","The passage describes the Cold Desert Biosphere Reserve located in Himachal Pradesh. It lies in a rain-shadow zone (cold desert biome), covers protected areas like Pin Valley National Park and Chandratal, and is noted for its distinct Buddhist culture (Gompas, Mani Walls) and high-altitude fauna such as the Snow Leopard and Himalayan Ibex.","The Cold Desert Biosphere Reserve integrates unique high-altitude ecology (Snow Leopard, Himalayan Ibex) with a distinct Buddhist cultural landscape (Gompas, Chortens, Mani Walls)."
