year,source,exam,question_number,question,option_a,option_b,option_c,option_d,correct_option,subject,explanation,takeaway,source_pdf,source_pages,evidence_excerpt,quality_score,topic,sub_topic
"2025","subject","PT365 Current Affairs 2025","1","Consider the following statements regarding the Reserve Bank of India's Economic Capital Framework (ECF):
1. It was adopted based on the recommendations of the Bimal Jalan Committee to provide a methodology for the distribution of RBI's profits.
2. The ECF is an integral component of the RBI's broader Enterprise-wide Risk Management framework.
3. Under the ECF, 'Realized Equity' is a component of economic capital that includes the RBI's Contingency Fund and Asset Development Fund.","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","D","Economy","All three statements are correct. Statement 1 is correct as the ECF was based on the Bimal Jalan Committee's recommendations for determining risk provisions and profit distribution. Statement 2 is correct; the source explicitly mentions that the ECF is an integral part of the Enterprise-wide Risk Management (ERM) framework. Statement 3 is also correct, as the text lists the Contingency Fund (CF) and Asset Development Fund (ADF) as parts of Realized Equity.","The Economic Capital Framework (ECF) is a crucial mechanism governing the RBI's financial resilience and its surplus transfer to the government. Key facts to remember are its origin (Bimal Jalan Committee), its integration with the ERM framework, and its main components like Realized Equity.","Economy PT 365 2026.pdf","5","Genesis: ECF was adopted by RBI in 2019, based on the recommendations of the Bimal Jalan Committee. ... The ECF is an integral part of the Enterprise-wide Risk Management (ERM) framework (2012). ... Components of Economic Capital under ECF: o Realized Equity: This consists of RBI’s Capital, Reserve Fund, Contingency Fund (CF), and Asset Development Fund (ADF).","90","Banking and Monetary Policy","RBI Monetary Policy and Surplus Transfer"
"2025","subject","PT365 Current Affairs 2025","2","With reference to the Cash Reserve Ratio (CRR) and the Statutory Liquidity Ratio (SLR), consider the following statements:
1. Both CRR and SLR are determined as a percentage of a bank's Net Demand and Time Liabilities (NDTL).
2. The assets maintained under SLR can be held by the banks themselves, whereas CRR must be maintained as cash deposits with the RBI.
3. The RBI pays interest to commercial banks on the balances maintained under CRR to compensate for the opportunity cost.","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","A","Economy","Statement 1 is correct as both CRR and SLR are calculated based on a bank's NDTL. Statement 2 is also correct; CRR involves parking cash with the RBI, while SLR requires banks to maintain specified liquid assets (like gold, government securities) with themselves. Statement 3 is incorrect. The source text explicitly states that no interest is paid by the RBI on CRR balances.","CRR and SLR are key quantitative tools for liquidity management. It is crucial to understand their differences regarding the form of assets, where they are held, and the payment of interest. The RBI does not pay any interest on CRR deposits.","Economy PT 365 2026.pdf","5","CRR (Cash Reserve Ratio): % of net demand & time liabilities (NDTL) banks must keep as CASH with RBI. No interest paid. SLR (Statutory Liquidity Ratio): % of NDTL banks must maintain in LIQUID ASSETS (Gold, Bonds, Cash) by themselves.","85","Banking and Monetary Policy","RBI Monetary Policy and Surplus Transfer"
"2025","subject","PT365 Current Affairs 2025","3","With reference to the components of India's Foreign Exchange Reserves, consider the following statements:
1. The Reserve Tranche Position (RTP) represents a portion of the member's quota that can be drawn from the IMF without being subject to strict conditionality.
2. Both Foreign Currency Assets (FCA) and Gold Reserves are exposed to revaluation risks stemming from fluctuations in market prices and exchange rates.
3. Special Drawing Rights (SDRs), created by the IMF to supplement members' reserves, are non-interest-bearing assets.","1 and 2 only","2 and 3 only","1 only","1, 2 and 3","A","Economy","Statement 1 is correct. The text defines RTP as being 'readily available for withdrawal without strict conditions'. Statement 2 is correct. The text defines 'Revaluation Balances' as unrealized gains/losses from 'exchange rate, gold price and interest rate movements', which directly implies that both FCA (affected by exchange rates) and Gold (affected by gold price) are subject to such revaluation. Statement 3 is incorrect. The text explicitly describes Special Drawing Rights as an 'interest-bearing reserve asset'.","It is crucial to know the specific characteristics of each component of forex reserves. RTP is a conditional drawing right, FCA and Gold are assets with market risk, and SDRs are interest-bearing reserve assets created by the IMF.","Economy PT 365 2026.pdf","6","Reserve Tranche Position (RTP): It is the difference between the member's quota and the IMF's holdings of the member's currency that is readily available for withdrawal without strict conditions. Revaluation Balances: The unrealized gains, net of losses, resulting from exchange rate, gold price and interest rate movements. Special Drawing Rights: An interest-bearing reserve asset created by the IMF to supplement members' reserve assets.","90","Banking and Monetary Policy","Forex Reserves and RBI's Economic Capital Framework"
"2025","subject","PT365 Current Affairs 2025","4","A central bank's strategic decision to increase the share of gold in its foreign exchange reserves, while reducing its holdings of foreign currency assets, primarily indicates a preference for:","Maximizing short-term yields and ensuring high asset liquidity.","Hedging against long-term inflation and currency volatility over generating regular income.","Minimizing the costs associated with the storage and security of reserve assets.","Enhancing the speed and ease of asset liquidation during a financial crisis.","B","Economy","The source text highlights that gold is accumulated as a hedge against inflation and to protect against currency volatility. Conversely, it explicitly states that gold yields no interest or dividends (unlike foreign currency assets like bonds) and has reduced liquidity, being slower and costlier to convert to cash. Therefore, a decision to increase gold holdings at the expense of foreign currency assets signifies a strategic prioritization of safety and hedging over income generation and liquidity.","Understand the strategic trade-offs in managing foreign exchange reserves. Gold serves as a hedge against inflation and currency risk but offers zero yield and lower liquidity compared to foreign currency assets like government bonds.","Economy PT 365 2026.pdf","6","Hedge against Inflation: Gold is accumulated as a hedge against inflation, helping protect the purchasing power of India’s foreign reserves. Risk Mitigation: Help protect against currency volatility... Zero Yield: Gold yields no interest or dividends, unlike bonds or currency deposits. Reduced Liquidity and Flexibility: Converting large gold holdings to cash... is slower and costlier than liquidating foreign currency assets.","85","Banking and Monetary Policy","Forex Reserves and RBI's Economic Capital Framework"
"2025","subject","PT365 Current Affairs 2025","5","Consider the following statements regarding the Co-Lending Arrangements (CLA) as per the revised directions of the Reserve Bank of India:
1. Under this arrangement, each of the regulated entities involved in co-lending must retain a minimum of 10% share of the individual loans on their respective books.
2. A bank participating in a co-lending arrangement can claim Priority Sector Lending (PSL) status for the entire loan amount, provided the loan qualifies under PSL norms.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2","A","Economy","Statement 1 is correct. The RBI's revised directions for Co-Lending Arrangements mandate that each Regulated Entity (RE), which includes both banks and NBFCs, must retain a minimum 10% share of the loans on their books. This ensures that both parties have skin in the game. Statement 2 is incorrect. The guidelines specify that each lender can claim Priority Sector Lending (PSL) status only for its respective share of the co-lent loan, not the entire amount. This ensures proportional recognition of PSL contribution.","The co-lending model is designed to facilitate joint lending with specific prudential norms, including a minimum 10% risk retention for each partner and pro-rata classification of loans under Priority Sector Lending.","Economy PT 365 2026.pdf","7","Minimum share: Each RE to retain a minimum 10% share of the loans. Priority Sector Lending (PSL) status: Each lender can claim PSL status for its share under co-lending, if the loan qualifies as priority sector.","86","Banking and Monetary Policy","RBI Ombudsman Scheme and Standing Deposit Facility"
"2025","subject","PT365 Current Affairs 2025","6","With reference to the Standing Deposit Facility (SDF) of the Reserve Bank of India, consider the following statements:
1. It is a monetary tool for absorbing liquidity from commercial banks that requires them to provide government securities as collateral.
2. It has replaced the Fixed Rate Reverse Repo as the floor of the Liquidity Adjustment Facility (LAF) corridor.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2","B","Economy","Statement 1 is incorrect. A key feature of the Standing Deposit Facility (SDF) is that it is a collateral-free instrument for absorbing liquidity. Banks can park their excess funds with the RBI without needing to provide government securities as collateral. Statement 2 is correct. The SDF was introduced to replace the Fixed Rate Reverse Repo (FRRR) as the new floor of the LAF corridor, establishing a formalised, collateral-free liquidity absorption mechanism.","The Standing Deposit Facility (SDF) is a crucial monetary policy tool that allows the RBI to absorb excess liquidity from the banking system without the constraint of providing collateral. It serves as the floor of the LAF corridor.","Economy PT 365 2026.pdf","7","It is a monetary tool that absorbs liquidity from commercial banks without collateral. ... SDF replaced the Fixed Rate Reverse Repo as the Liquidity Adjustment Facility corridor’s floor.","85","Banking and Monetary Policy","RBI Ombudsman Scheme and Standing Deposit Facility"
"2025","subject","PT365 Current Affairs 2025","7","Consider the following statements regarding the Reserve Bank - Integrated Ombudsman Scheme (RB-IOS):
1. It integrated the erstwhile separate ombudsman schemes for banks, NBFCs, and digital transactions.
2. The scheme is based on a 'One Nation One Ombudsman' approach, making the grievance redressal mechanism jurisdiction-neutral.
3. The Ombudsman's power to award compensation is limited to the amount disputed by the complainant and does not cover aspects like mental harassment.
Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","A","Economy","Statements 1 and 2 are correct. The RB-IOS integrated the three separate schemes for Banking, NBFCs, and Digital Transactions into a single framework. It also adopted the 'One Nation One Ombudsman' approach, allowing a customer to file a complaint from anywhere, irrespective of the location of the bank branch. Statement 3 is incorrect. The Ombudsman can award compensation up to ₹20 lakh for the dispute, and additionally, up to ₹1 lakh for the complainant's time, expenses, and mental distress or harassment.","The RBI's Integrated Ombudsman Scheme centralizes grievance redressal for various regulated entities, making it jurisdiction-neutral and empowering it to award compensation for both the direct financial loss and the associated mental anguish.","Economy PT 365 2026.pdf","7","It integrated the three Ombudsman schemes of RBI...It adopted the ‘One Nation One Ombudsman’ approach by making the RBI Ombudsman mechanism jurisdiction neutral. Power: The Ombudsman can award up to ₹20 lakh in compensation, plus up to ₹1 lakh for the complainant’s time, expenses, and any mental distress or harassment.","85","Banking and Monetary Policy","RBI Ombudsman Scheme and Standing Deposit Facility"
"2025","subject","PT365 Current Affairs 2025","8","The regulatory requirement for non-bank Payment Aggregators (PAs) to obtain authorisation under the Payment and Settlement Systems Act, 2007, is primarily necessitated by which of their core functions?","Their role in innovating and deploying new payment technologies.","Their direct involvement in handling and pooling of customer funds during a transaction cycle.","Their capacity to issue pre-paid payment instruments to a broad consumer base.","Their ability to aggregate merchant-side data for providing credit-related services.","B","Economy","The Payment and Settlement Systems Act, 2007, provides for the regulation and supervision of payment systems in India. The core function of a Payment Aggregator is to facilitate payments by aggregating them from customers and settling them with merchants. This process involves the handling and temporary pooling of customer funds. This direct involvement in the flow of funds makes them a payment system operator, necessitating RBI authorisation under the Act to ensure the safety, security, and efficiency of transactions and to protect consumer interests.","Regulatory frameworks are designed to address the specific risks posed by the functions of financial entities. For Payment Aggregators, the key regulatory concern is their role in the fund flow chain, which brings them under the purview of the Payment and Settlement Systems Act.","Economy PT 365 2026.pdf","8","It is an entity that facilitates aggregation of payments made by customers to merchants through payment channels... New framework mandates non-bank PAs to obtain RBI authorisation under the Payment and Settlement Systems Act, 2007.","90","Banking and Monetary Policy","Payment Systems, Ways and Means Advances, and Regulatory Initiatives"
"2025","subject","PT365 Current Affairs 2025","9","The development of the Unified Lending Interface (ULI) as a Digital Public Infrastructure is primarily intended to address which one of the following fundamental challenges in the credit ecosystem?","The high concentration of Non-Performing Assets (NPAs) within public sector banks.","The lack of a uniform methodology for interest rate calculation across various lenders.","The problem of information asymmetry, which impedes accurate credit risk assessment by lenders.","The logistical difficulties associated with the physical verification of collateral for secured lending.","C","Economy","The source states that the Unified Lending Interface (ULI) 'aggregates data from multiple data sources which would be made available to lenders for better credit assessment.' This function directly targets the problem of information asymmetry, where lenders have incomplete information about a borrower's creditworthiness. By providing a consolidated data view, ULI enables more informed and efficient credit decisions, potentially expanding credit access to new-to-credit borrowers.","Digital Public Infrastructures like ULI are designed to solve core market failures. In the credit market, information asymmetry is a key failure that restricts lending. ULI aims to democratize data access for lenders, thereby improving credit delivery and promoting financial inclusion.","Economy PT 365 2026.pdf","8","Unified Lending Interface (ULI): It is envisioned as a Digital Public Infrastructure (DPI) aiming to enhance delivery of credit. o It aggregates data from multiple data sources which would be made available to lenders for better credit assessment.","90","Banking and Monetary Policy","Payment Systems, Ways and Means Advances, and Regulatory Initiatives"
"2025","subject","PT365 Current Affairs 2025","10","Consider the following statements regarding Ways and Means Advances (WMA):
1. The WMA facility is a key source of financing for the fiscal deficit of the government.
2. The interest rate applicable on WMA is the prevailing repo rate.
3. This facility is available not only to the Central government but also to State governments and Union Territories.
How many of the above statements are correct?","Only one","Only two","All three","None","B","Economy","Statement 1 is incorrect. The source explicitly states that WMAs are temporary advances to cover mismatches in receipts and payments and are 'not a source of financing fiscal deficit.' Statement 2 is correct. The source states, 'Interest rate on WMA is the RBI’s repo rate.' Statement 3 is correct. The source mentions that WMA is 'also available for state governments and Union Territories.' Therefore, two statements (2 and 3) are correct.","WMA is a short-term liquidity management tool for governments, distinct from instruments used for deficit financing. Key features include its purpose, interest rate linkage to the repo rate, and availability to both central and state governments.","Economy PT 365 2026.pdf","8","It is a temporary advance given by the RBI to the central government to cover any mismatch in receipts and payments. o Unlike ad hoc Treasury Bills, the instrument of WMAs is not a source of financing fiscal deficit. o WMA is also available for state governments and Union Territories. • Interest rate: Interest rate on WMA is the RBI’s repo rate.","85","Banking and Monetary Policy","Payment Systems, Ways and Means Advances, and Regulatory Initiatives"
