year,exam,question_number,question,option_a,option_b,option_c,option_d
2025,UPSC Prelims GS1,1,"With reference to investments, consider the following :
I. Bonds
II. Hedge Funds
III. Stocks
IV. Venture Capital
How many of the above are treated as Alternative Investment Funds?","Only one","Only two","Only three","All the four"
2025,UPSC Prelims GS1,2,"Which of the following are the sources of income for the Reserve Bank of India?
I. Buying and selling Government bonds
II. Buying and selling foreign currency
III. Pension fund management
IV. Lending to private companies
V. Printing and distributing currency notes
Select the correct answer using the code given below.","I and II only","II, III and IV","I, III, IV and V","I, II and V"
2025,UPSC Prelims GS1,3,"With reference to the Government of India, consider the following information :
Organization | Some of its functions | It works under
I. Directorate of Enforcement | Enforcement of the Fugitive Economic Offenders Act, 2018 | Internal Security Division-I, Ministry of Home Affairs
II. Directorate of Revenue Intelligence | Enforces the Provisions of the Customs Act, 1962 | Department of Revenue, Ministry of Finance
III. Directorate General of Systems and Data Management | Carrying out big data analytics to assist tax officers for better policy and nabbing tax evaders | Department of Revenue, Ministry of Finance
In how many of the above rows is the information correctly matched?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,4,"Consider the following statements :
I. The Reserve Bank of India mandates all the listed companies in India to submit a Business Responsibility and Sustainability Report (BRSR).
II. In India, a company submitting a BRSR makes disclosures in the report that are largely non-financial in nature.
Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,5,"Consider the following statements :
Statement I :
In India, income from allied agricultural activities like poultry farming and wool rearing in rural areas is exempted from any tax.
Statement II :
In India, rural agricultural land is not considered a capital asset under the provisions of the Income-tax Act, 1961.
Which one of the following is correct in respect of the above statements?","Both Statement I and Statement II are correct and Statement II explains Statement I","Both Statement I and Statement II are correct but Statement II does not explain Statement I","Statement I is correct but Statement II is not correct","Statement I is not correct but Statement II is correct"
2025,UPSC Prelims GS1,6,"Consider the following statements :
I. India has joined the Minerals Security Partnership as a member.
II. India is a resource-rich country in all the 30 critical minerals that it has identified.
III. The Parliament in 2023 has amended the Mines and Minerals (Development and Regulation) Act, 1957 empowering the Central Government to exclusively auction mining lease and composite license for certain critical minerals.
Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,7,"Consider the following statements :
Statement I :
As regards returns from an investment in a company, generally, bondholders are considered to be relatively at lower risk than stockholders.
Statement II :
Bondholders are lenders to a company whereas stockholders are its owners.
Statement III :
For repayment purpose, bondholders are prioritized over stockholders by a company.
Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement I and Statement II are correct and Statement I explains Statement II","Only one of the Statements II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct"
2025,UPSC Prelims GS1,8,"Consider the following statements :
I. India accounts for a very large portion of all equity option contracts traded globally thus exhibiting a great boom.
II. India's stock market has grown rapidly in the recent past even overtaking Hong Kong's at some point of time.
III. There is no regulatory body either to warn the small investors about the risks of options trading or to act on unregistered financial advisors in this regard.
Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,9,"Consider the following statements :
Statement I :
Circular economy reduces the emissions of greenhouse gases.
Statement II :
Circular economy reduces the use of raw materials as inputs.
Statement III :
Circular economy reduces wastage in the production process.
Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement II and Statement III are correct but only one of them explains Statement I","Only one of the Statements II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct"
2025,UPSC Prelims GS1,10,"Consider the following statements :
I. Capital receipts create a liability or cause a reduction in the assets of the Government.
II. Borrowings and disinvestment are capital receipts.
III. Interest received on loans creates a liability of the Government.
Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,11,"Consider the following statements about Raja Ram Mohan Roy :
I. He possessed great love and respect for the traditional philosophical systems of the East.
II. He desired his countrymen to accept the rational and scientific approach and the principle of human dignity and social equality of all men and women.
Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,12,"Consider the following subjects with regard to Non-Cooperation Programme :
I. Boycott of law-courts and foreign cloth
II. Observance of strict non-violence
III. Retention of titles and honours without using them in public
IV. Establishment of Panchayats for settling disputes
How many of the above were parts of Non-Cooperation Programme?","Only one","Only two","Only three","All the four"
2025,UPSC Prelims GS1,13,"The irrigation device called 'Araghatta' was","a water bag made of leather pulled over a pulley","a large wheel with earthen pots tied to the outer ends of its spokes","a larger earthen pot driven by bullocks","a large water bucket pulled up by rope directly by hand"
2025,UPSC Prelims GS1,14,"Who among the following rulers in ancient India had assumed the titles 'Mattavilasa', 'Vichitrachitta' and 'Gunabhara'?","Mahendravarman I","Simhavishnu","Narasimhavarman I","Simhavarman"
2025,UPSC Prelims GS1,15,"Fa-hien (Faxian), the Chinese pilgrim travelled to India during the reign of","Samudragupta","Chandragupta II","Kumaragupta I","Skandagupta"
2025,UPSC Prelims GS1,16,"Who among the following led a successful military campaign against the kingdom of Srivijaya, the powerful maritime State, which ruled the Malay Peninsula, Sumatra, Java and the neighbouring islands?","Amoghavarsha (Rashtrakuta)","Prataparudra (Kakatiya)","Rajendra I (Chola)","Vishnuvardhana (Hoysala)"
2025,UPSC Prelims GS1,17,"With reference to ancient India (600-322 BC), consider the following pairs :
Territorial region : River flowing in the region
I. Asmaka : Godavari
II. Kamboja : Vipas
III. Avanti : Mahanadi
IV. Kosala : Sarayu
How many of the pairs given above are correctly matched?","Only one","Only two","Only three","All the four"
2025,UPSC Prelims GS1,18,"The first Gandharva Mahavidyalaya, a music training school, was set up in 1901 by Vishnu Digambar Paluskar in","Delhi","Gwalior","Ujjain","Lahore"
2025,UPSC Prelims GS1,19,"Ashokan inscriptions suggest that the 'Pradeshika', 'Rajuka' and 'Yukta' were important officers at the","village-level administration","district-level administration","provincial administration","level of the central administration"
2025,UPSC Prelims GS1,20,"Consider the following statements in respect of the Non-Cooperation Movement :
I. The Congress declared the attainment of 'Swaraj' by all legitimate and peaceful means to be its objective.
II. It was to be implemented in stages with civil disobedience and non-payment of taxes for the next stage only if 'Swaraj' did not come within a year and the Government resorted to repression.
Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,21,"Consider the following countries :
I. Austria
II. Bulgaria
III. Croatia
IV. Serbia
V. Sweden
VI. North Macedonia
How many of the above are members of the North Atlantic Treaty Organization?","Only three","Only four","Only five","All the six"
2025,UPSC Prelims GS1,22,"Consider the following countries :
I. Bolivia
II. Brazil
III. Colombia
IV. Ecuador
V. Paraguay
VI. Venezuela
Andes mountains pass through how many of the above countries?","Only two","Only three","Only four","Only five"
2025,UPSC Prelims GS1,23,"Consider the following water bodies :
I. Lake Tanganyika
II. Lake Tonlé Sap
III. Patos Lagoon
Through how many of them does the equator pass?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,24,"Consider the following statements about turmeric during the year 2022-23 :
I. India is the largest producer and exporter of turmeric in the world.
II. More than 30 varieties of turmeric are grown in India.
III. Maharashtra, Telangana, Karnataka and Tamil Nadu are major turmeric producing States in India.
Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,25,"Which of the following are the evidences of the phenomenon of continental drift?
I. The belt of ancient rocks from Brazil coast matches with those from Western Africa.
II. The gold deposits of Ghana are derived from the Brazil plateau when the two continents lay side by side.
III. The Gondwana system of sediments from India is known to have its counterparts in six different landmasses of the Southern Hemisphere.
Select the correct answer using the code given below.","I and III only","I and II only","I, II and III","II and III only"
2025,UPSC Prelims GS1,26,"Consider the following statements :
Statement I :
The amount of dust particles in the atmosphere is more in subtropical and temperate areas than in equatorial and polar regions.
Statement II :
Subtropical and temperate areas have less dry winds.
Which one of the following is correct in respect of the above statements?","Both Statement I and Statement II are correct and Statement II explains Statement I","Both Statement I and Statement II are correct but Statement II does not explain Statement I","Statement I is correct but Statement II is not correct","Statement I is not correct but Statement II is correct"
2025,UPSC Prelims GS1,27,"Consider the following statements :
Statement I :
In January, in the Northern Hemisphere, the isotherms bend equatorward while crossing the landmasses, and poleward while crossing the oceans.
Statement II :
In January, the air over the oceans is warmer than that over the landmasses in the Northern Hemisphere.
Which one of the following is correct in respect of the above statements?","Both Statement I and Statement II are correct and Statement II explains Statement I","Both Statement I and Statement II are correct but Statement II does not explain Statement I","Statement I is correct but Statement II is not correct","Statement I is not correct but Statement II is correct"
2025,UPSC Prelims GS1,28,"Consider the following statements :
Statement I :
In the context of effect of water on rocks, chalk is known as a very permeable rock whereas clay is known as quite an impermeable or least permeable rock.
Statement II :
Chalk is porous and hence can absorb water.
Statement III :
Clay is not at all porous.
Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement II and Statement III are correct but only one of them explains Statement I","Only one of the Statements II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct"
2025,UPSC Prelims GS1,29,"Consider the following statements :
I. Without the atmosphere, temperature would be well below freezing point everywhere on the Earth's surface.
II. Heat absorbed and trapped by the atmosphere maintains our planet's average temperature.
III. Atmosphere's gases, like carbon dioxide, are particularly good at absorbing and trapping radiation.
Which of the statements given above are correct?","I and III only","I and II only","I, II and III","II and III only"
2025,UPSC Prelims GS1,30,"Consider the following statements about the Rashtriya Gokul Mission :
I. It is important for the upliftment of rural poor as majority of low producing indigenous animals are with small and marginal farmers and landless labourers.
II. It was initiated to promote indigenous cattle and buffalo rearing and conservation in a scientific and holistic manner.
Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,31,"Consider the following statements :
Statement I :
Studies indicate that carbon dioxide emissions from cement industry account for more than 5% of global carbon emissions.
Statement II :
Silica-bearing clay is mixed with limestone while manufacturing cement.
Statement III :
Limestone is converted into lime during clinker production for cement manufacturing.
Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement II and Statement III are correct but only one of them explains Statement I","Only one of the Statements II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct"
