year,exam,question_number,question,option_a,option_b,option_c,option_d
2025,UPSC Prelims GS1,1,"With reference to investments consider the following I Bonds II Hedge Funds III Stocks IV Venture Capital How many of the above are treated as Alternative Investment Funds","Only one","Only two","Only three","All the four"
2025,UPSC Prelims GS1,2,"Which of the following are the sources of income for the Reserve Bank of India I Buying and selling Government bonds II Buying and selling foreign currency III Pension fund management IV Lending to private companies V Printing and distributing currency notes","I and II only","II III and IV","I III IV and V","I II and V"
2025,UPSC Prelims GS1,3,"With reference to Government of India organizations and their functions consider the given table In how many rows is the information correctly matched","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,4,"Consider the following statements about Business Responsibility and Sustainability Report BRSR Which of the statements given above is or are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,5,"Consider the following statements about allied agricultural income and rural agricultural land Which one of the following is correct","Both correct and II explains I","Both correct but II does not explain I","I correct but II not correct","I not correct but II correct"
2025,UPSC Prelims GS1,6,"Consider the following statements regarding Minerals Security Partnership and critical minerals policy Which of the statements given above are correct","I and II only","II and III only","I and III only","I II and III"
2025,UPSC Prelims GS1,7,"Consider the following statements about bondholders and stockholders Which one of the following is correct","Both II and III explain I","Both I and II correct and I explains II","Only one of II or III explains I","Neither II nor III correct"
2025,UPSC Prelims GS1,8,"Consider the following statements about India stock market growth and options trading regulation Which of the statements given above are correct","I and II only","II and III only","I and III only","I II and III"
2025,UPSC Prelims GS1,9,"Consider the following statements about circular economy Which one of the following is correct","Both II and III explain I","Both II and III correct but only one explains I","Only one explains I","Neither II nor III correct"
2025,UPSC Prelims GS1,10,"Consider the following statements about capital receipts Which of the statements given above are correct","I and II only","II and III only","I and III only","I II and III"
2025,UPSC Prelims GS1,11,"Consider the following statements about Raja Ram Mohan Roy Which of the statements given above is or are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,12,"Consider the following subjects with regard to Non Cooperation Programme How many of the above were parts of Non Cooperation Programme","Only one","Only two","Only three","All the four"
2025,UPSC Prelims GS1,13,"The irrigation device called Araghatta was","Water bag pulled over pulley","Large wheel with earthen pots on spokes","Large earthen pot driven by bullocks","Water bucket pulled by rope"
2025,UPSC Prelims GS1,14,"Who among the following rulers had assumed the titles Mattavilasa Vichitrachitta and Gunabhara","Mahendravarman I","Simhavishnu","Narasimhavarman I","Simhavarman"
2025,UPSC Prelims GS1,15,"Fa Hien the Chinese pilgrim travelled to India during the reign of","Samudragupta","Chandragupta II","Kumaragupta I","Skandagupta"
2025,UPSC Prelims GS1,16,"Who led a successful military campaign against the kingdom of Srivijaya","Amoghavarsha","Prataparudra","Rajendra I","Vishnuvardhana"
2025,UPSC Prelims GS1,17,"With reference to ancient India consider the following pairs territorial region and river How many are correctly matched","Only one","Only two","Only three","All the four"
2025,UPSC Prelims GS1,18,"The first Gandharva Mahavidyalaya music training school was set up in 1901 by Vishnu Digambar Paluskar in","Delhi","Gwalior","Ujjain","Lahore"
