year,source,exam,question_number,question,option_a,option_b,option_c,option_d,correct_option,subject,explanation,takeaway,source_pdf,source_pages,evidence_excerpt,quality_score,topic,sub_topic
"2025","subject","PT365 Current Affairs 2025","1","With reference to the Economic Capital Framework (ECF) of the Reserve Bank of India (RBI), consider the following statements:
1. It was formulated based on the recommendations of the Bimal Jalan Committee.
2. It provides the methodology for determining the RBI's risk provisioning and surplus distribution as per the RBI Act, 1934.
3. The Revaluation Balances under this framework are composed of realized gains arising from fluctuations in exchange rates and gold prices.
Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","A","Economy","Statement 1 is correct: The ECF was adopted by the RBI in 2019, based on the recommendations of the Bimal Jalan Committee. Statement 2 is correct: The framework's primary purpose is to provide a methodology for determining the appropriate level of risk provisions and profit distribution to be made under Section 47 of the RBI Act, 1934. Statement 3 is incorrect: Revaluation Balances represent *unrealized* gains, not realized ones, resulting from movements in exchange rates, gold prices, and interest rates.","The Economic Capital Framework (ECF) governs the RBI's financial resilience and surplus transfer to the government. Key aspects include its origin (Bimal Jalan Committee), legal basis (RBI Act), and the crucial distinction between realized equity and unrealized revaluation gains.","Economy PT 365 2026.pdf","5","Genesis: ECF was adopted by RBI in 2019, based on the recommendations of the Bimal Jalan Committee. Concept: ECF provides a methodology for determining the appropriate level of risk provisions and profit distribution to be made under Section 47 of the RBI Act, 1934.","85","Banking and Monetary Policy","RBI Monetary Policy Instruments, Surplus Transfer, Economic Capital Framework"
"2025","subject","PT365 Current Affairs 2025","2","With reference to the quantitative tools of the RBI's monetary policy, consider the following statements:
1. The Cash Reserve Ratio (CRR) mandates that banks hold a fraction of their Net Demand and Time Liabilities (NDTL) as cash reserves with the RBI, and these reserves do not earn any interest.
2. The Statutory Liquidity Ratio (SLR) obliges banks to maintain a certain percentage of their NDTL in the form of specified liquid assets, which are held by the banks themselves.
3. While an increase in CRR reduces the lendable funds of banks, an increase in SLR primarily functions to absorb excess liquidity from the banking system.
Which of the statements given above is/are correct?","1 and 3 only","2 only","1 and 2 only","1, 2 and 3","C","Economy","Statement 1 is correct: This is the precise definition of CRR as per the source, including the non-payment of interest. Statement 2 is correct: This accurately describes the SLR requirement, specifying that the liquid assets are held by the banks themselves. Statement 3 is incorrect: According to the source text, an increase in *both* CRR and SLR leads to a decrease in lendable funds ('↓ Lendable Funds'). The text specifically associates the function of 'absorbs excess liquidity' with the Reverse Repo Rate, not SLR. Therefore, the distinction made in the statement is not supported by the text.","Both CRR and SLR are quantitative tools that lock up a portion of bank funds, thereby reducing their lending capacity. It is important to be precise about the stated function of each monetary policy instrument as described by the RBI and avoid making unsubstantiated distinctions between their impacts.","Economy PT 365 2026.pdf","5","CRR (Cash Reserve Ratio): % of net demand & time liabilities (NDTL) banks must keep as CASH with RBI. No interest paid. ↑ CRR = ↓ Lendable Funds. SLR (Statutory Liquidity Ratio): % of NDTL banks must maintain in LIQUID ASSETS (Gold, Bonds, Cash) by themselves. ↑ SLR = ↓ Lendable Funds. REVERSE REPO RATE (Borrowing Rate): ... Absorbs excess liquidity.","90","Banking and Monetary Policy","RBI Monetary Policy Instruments, Surplus Transfer, Economic Capital Framework"
"2025","subject","PT365 Current Affairs 2025","3","Consider the following statements regarding the rationale for the Reserve Bank of India (RBI) augmenting its gold reserves:

1. It is a measure to diversify the foreign currency asset base and reduce dependency on a single currency.
2. It serves as a hedge against inflation, thereby protecting the purchasing power of the reserves.
3. It enhances the overall liquidity and flexibility of the foreign exchange stockpile.

Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","A","Economy","Statements 1 and 2 are correct. The RBI increases gold reserves to diversify its foreign currency assets and reduce dependency on the US dollar. Gold is also considered a hedge against inflation, protecting the value of the reserves. Statement 3 is incorrect. Storing gold is associated with reduced liquidity and flexibility, as converting large gold holdings into cash is typically slower and more costly compared to liquidating foreign currency assets like government bonds.","While holding gold offers benefits like diversification and inflation hedging for a central bank, it also comes with trade-offs, most notably lower liquidity and zero yield compared to other reserve assets.","Economy PT 365 2026.pdf","6","Why is RBI increasing gold reserves? • Diversification: Diversify the foreign currency assets base and reduce dependency on the US dollar (de-dollarization). • Hedge against Inflation: Gold is accumulated as a hedge against inflation, helping protect the purchasing power of India’s foreign reserves. Risk Associated with Storing Gold • Reduced Liquidity and Flexibility: Converting large gold holdings to cash during is slower and costlier than liquidating foreign currency assets.","85","Banking and Monetary Policy","Economic Capital Framework, India's Forex Reserves, Integrated Ombudsman Scheme"
"2025","subject","PT365 Current Affairs 2025","4","With reference to the components of India's Foreign Exchange Reserves, consider the following statements:

1. Special Drawing Rights (SDRs) are an interest-bearing international reserve asset created by the International Monetary Fund (IMF).
2. The Reserve Tranche Position (RTP) represents a claim on the IMF that can be drawn upon by a member country without facing strict conditions.
3. Foreign Currency Assets (FCA) are primarily composed of gold reserves and holdings of SDRs.

Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","A","Economy","Statements 1 and 2 are correct. The source defines Special Drawing Rights (SDRs) as an interest-bearing reserve asset created by the IMF. It also defines the Reserve Tranche Position (RTP) as the difference between a member's quota and the IMF's holdings of its currency, which is readily available for withdrawal without strict conditions. Statement 3 is incorrect. Foreign Currency Assets (FCA), Gold Reserves, and SDRs are distinct and separate components of the foreign exchange reserves. FCA consists of assets held in foreign currencies like the US dollar, euro, etc., not gold or SDRs.","India's Foreign Exchange Reserves are composed of four main components: Foreign Currency Assets (FCA), Gold Reserves, Special Drawing Rights (SDRs), and the Reserve Tranche Position (RTP) with the IMF. It is important not to confuse their definitions and compositions.","Economy PT 365 2026.pdf","6","Components of Foreign Exchange Reserves • Foreign Currency Assets (FCA): These are maintained in currencies like the US dollar, euro, pound sterling, Australian dollar, and Japanese yen. • Gold Reserves held with RBI. • Holdings with IMF o Special Drawing Rights: An interest-bearing reserve asset created by the IMF to supplement members’ reserve assets. o Reserve Tranche Position (RTP): It is the difference between the member’s quota and the IMF’s holdings of the member’s currency that is readily available for withdrawal without strict conditions.","88","Banking and Monetary Policy","Economic Capital Framework, India's Forex Reserves, Integrated Ombudsman Scheme"
"2025","subject","PT365 Current Affairs 2025","5","o All Commercial Banks, Regional Rural Banks, Scheduled Primary (Urban) Co-operative Banks, and Non-Scheduled Primary (Urban) Co-operative Banks with deposits size of ₹50 crore.
o All Non-Banking Financial Companies (excluding Housing Finance Companies) which are authorised to accept deposits or have customer interface, with an assets size of ₹100 crore.
o It adopted the ‘One Nation One Ombudsman’ approach by making the RBI Ombudsman mechanism jurisdiction neutral.
o Power: The Ombudsman can award up to ₹20 lakh in compensation, plus up to ₹1 lakh for the complainant’s time, expenses, and any mental distress or harassment.
With reference to the Reserve Bank - Integrated Ombudsman Scheme (RB-IOS), consider the following statements:
1. The scheme's jurisdiction extends to all Non-Banking Financial Companies (NBFCs) and Urban Co-operative Banks, regardless of their asset or deposit size.
2. It follows a 'One Nation One Ombudsman' principle, establishing a jurisdiction-neutral mechanism for grievance redressal.
3. The Ombudsman is empowered to award compensation of up to ₹20 lakh, with an additional provision of up to ₹1 lakh for the complainant's mental anguish.
How many of the statements given above are correct?","Only one","Only two","All three","None","B","Economy","Statement 1 is incorrect. The scheme does not cover all NBFCs and UCBs irrespective of size. It applies to Non-Scheduled Primary (Urban) Co-operative Banks with a deposit size of ₹50 crore and above, and NBFCs with an asset size of ₹100 crore and above.
Statement 2 is correct. The scheme is explicitly based on the ‘One Nation One Ombudsman’ approach, making the grievance redressal mechanism jurisdiction neutral.
Statement 3 is correct. The Ombudsman has the power to award up to ₹20 lakh as compensation and an additional amount of up to ₹1 lakh to cover the complainant's time, expenses, mental distress, and harassment.","The RB-IOS is a significant step towards simplifying grievance redressal in the financial sector, but it's crucial to note the specific eligibility thresholds for institutions like NBFCs and Co-operative Banks, as well as the compensation limits.","Economy PT 365 2026.pdf","7","o All Non-Banking Financial Companies... with an assets size of ₹100 crore.
o ...Non-Scheduled Primary (Urban) Co-operative Banks with deposits size of ₹50 crore.
o It adopted the ‘One Nation One Ombudsman’ approach by making the RBI Ombudsman mechanism jurisdiction neutral.
o Power: The Ombudsman can award up to ₹20 lakh in compensation, plus up to ₹1 lakh for the complainant’s time, expenses, and any mental distress or harassment.","85","Banking and Monetary Policy","Integrated Ombudsman Scheme, Standing Deposit Facility (SDF), Variable Rate Reverse Repo (VRRR), Switch Auction, Co-lending norms"
"2025","subject","PT365 Current Affairs 2025","6","Standing Deposit Facility (SDF): It is a monetary tool that absorbs liquidity from commercial banks without collateral.
Variable Rate Reverse Repo (VRRR): It is a method used by the RBI to absorb excess money from banks for a short period.
The term variable rate means the interest rate is not fixed and is decided by the market.
Reverse Repo Rate, the rate is fixed by RBI.
Consider the following statements regarding the liquidity management tools of the Reserve Bank of India (RBI):
1. The Standing Deposit Facility (SDF) is a collateral-free instrument used for absorbing liquidity from the banking system.
2. Under the Variable Rate Reverse Repo (VRRR) auction, the interest rate is market-determined, unlike the fixed Reverse Repo Rate set by the RBI.
3. Both SDF and VRRR are tools designed primarily for injecting liquidity into the financial system.
Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","A","Economy","Statement 1 is correct. The SDF is a monetary tool that allows the RBI to absorb liquidity from commercial banks without the need to provide government securities as collateral.
Statement 2 is correct. The VRRR operates through auctions where the interest rate is determined by market bidding, in contrast to the standard Reverse Repo Rate, which is a fixed policy rate announced by the RBI.
Statement 3 is incorrect. Both the SDF and the VRRR are tools for liquidity *absorption*, not injection. They are used by the RBI to withdraw excess money from the banking system.","Understanding the direction of liquidity flow (absorption vs. injection) and the mechanism (collateral-free, fixed vs. variable rate) is key to differentiating between the RBI's various monetary policy tools like SDF, VRRR, and the traditional Repo/Reverse Repo.","Economy PT 365 2026.pdf","7","Standing Deposit Facility (SDF): It is a monetary tool that absorbs liquidity from commercial banks without collateral. Variable Rate Reverse Repo (VRRR): It is a method used by the RBI to absorb excess money from banks... The term variable rate means the interest rate is not fixed and is decided by the market. Reverse Repo Rate, the rate is fixed by RBI.","86","Banking and Monetary Policy","Integrated Ombudsman Scheme, Standing Deposit Facility (SDF), Variable Rate Reverse Repo (VRRR), Switch Auction, Co-lending norms"
"2025","subject","PT365 Current Affairs 2025","7","Standing Deposit Facility (SDF): It is a monetary tool that absorbs liquidity from commercial banks without collateral.
Features: SDF replaced the Fixed Rate Reverse Repo as the Liquidity Adjustment Facility corridor’s floor.
Which one of the following best describes a fundamental difference between the Standing Deposit Facility (SDF) and the Fixed Rate Reverse Repo (FRRR)?","The SDF is a tool for liquidity injection, whereas the FRRR is for liquidity absorption.","The interest rate under SDF is market-determined, while the FRRR rate is a policy rate fixed by the RBI.","The SDF allows the RBI to absorb liquidity without providing government securities as collateral, unlike the FRRR.","The SDF is available only on weekdays, while the FRRR was available on all days.","C","Economy","Option A is incorrect as both SDF and FRRR are tools for liquidity absorption. Option B is incorrect; the SDF rate, like the FRRR rate, is a policy rate set by the RBI, not market-determined (which is a feature of VRRR). Option D is incorrect; the SDF is available on all days, including weekends and holidays. Option C is correct. The defining feature and the most significant change introduced with the SDF is its collateral-free nature. Under the FRRR, the RBI had to provide government securities as collateral to banks for absorbing liquidity, whereas the SDF does not have this requirement.","The introduction of the Standing Deposit Facility (SDF) marks a key change in the RBI's liquidity management framework, primarily by creating a collateral-free instrument for liquidity absorption, which also serves as the floor of the LAF corridor.","Economy PT 365 2026.pdf","7","Standing Deposit Facility (SDF): It is a monetary tool that absorbs liquidity from commercial banks without collateral. Features: SDF replaced the Fixed Rate Reverse Repo as the Liquidity Adjustment Facility corridor’s floor. SDF will be available every day, including holidays and weekends.","88","Banking and Monetary Policy","Integrated Ombudsman Scheme, Standing Deposit Facility (SDF), Variable Rate Reverse Repo (VRRR), Switch Auction, Co-lending norms"
"2025","subject","PT365 Current Affairs 2025","8","With reference to Ways and Means Advances (WMA), consider the following statements:
1. These are temporary advances provided by the RBI to the Central Government as well as to State Governments and Union Territories.
2. The instrument of WMA is explicitly designed as a mechanism for financing the fiscal deficit.
3. The interest rate applicable to WMA is the prevailing repo rate of the RBI.
4. Interest on overdraft facilities availed beyond the WMA limit is charged at a rate 2% above the repo rate.
How many of the statements given above are correct?","Only one","Only two","Only three","All four","C","Economy","Statement 1 is correct as WMA is available to the central government, state governments, and Union Territories. Statement 2 is incorrect; the source explicitly states that WMAs are not a source of financing the fiscal deficit, unlike ad hoc Treasury Bills. Statement 3 is correct as the interest rate on WMA is the RBI's repo rate. Statement 4 is correct as the interest on overdrafts (amounts exceeding WMA limits) is specified as 2% above the repo rate. Therefore, three statements (1, 3, and 4) are correct.","WMA is a short-term liquidity management tool for governments, not a deficit financing mechanism. Its cost is linked to the repo rate, with a penalty for exceeding the prescribed limits, and it has a mandatory repayment period of three months.","Economy PT 365 2026.pdf","8","It is a temporary advance given by the RBI to the central government to cover any mismatch in receipts and payments. o Unlike ad hoc Treasury Bills, the instrument of WMAs is not a source of financing fiscal deficit. o WMA is also available for state governments and Union Territories. Interest rate: Interest rate on WMA is the RBI’s repo rate. o However, interest on overdraft (amounts in excess of their WMA limits) is 2 % above the repo rate.","85","Banking and Monetary Policy","Co-lending norms, Payment Aggregators, Ways and Means Advances (WMA), RBI Initiatives (ULI, CBDC, Tokenisation of CD)"
"2025","subject","PT365 Current Affairs 2025","9","With reference to the regulatory framework for Payment Aggregators (PAs) in India, consider the following statements:
1. PAs are entities that facilitate merchants in accepting various payment instruments from customers to complete their payment obligations.
2. Non-bank PAs are required to obtain operating authorisation from the RBI under the provisions of the Payment and Settlement Systems Act, 2007.
3. The regulatory framework for PAs applies exclusively to entities facilitating online or virtual transactions.
Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","A","Economy","Statement 1 is correct; it accurately describes the function of a Payment Aggregator. Statement 2 is correct; the source specifies that non-bank PAs must obtain RBI authorisation under the Payment and Settlement Systems Act, 2007. Statement 3 is incorrect; the source mentions that PAs facilitate payments through a merchant's interface which can be 'physical / virtual', implying the framework is not exclusive to online transactions. Therefore, only statements 1 and 2 are correct.","The regulatory framework for Payment Aggregators in India involves incorporation under the Companies Act, operational authorization from the RBI under the PSS Act, 2007, and covers both physical and virtual payment interfaces.","Economy PT 365 2026.pdf","8","It is an entity that facilitates aggregation of payments made by customers to merchants through payment channels through merchant’s interface (physical / virtual) for purchase of goods, services or investment products. New framework mandates non-bank PAs to obtain RBI authorisation under the Payment and Settlement Systems Act, 2007.","90","Banking and Monetary Policy","Co-lending norms, Payment Aggregators, Ways and Means Advances (WMA), RBI Initiatives (ULI, CBDC, Tokenisation of CD)"
"2025","subject","PT365 Current Affairs 2025","10","With reference to Certificates of Deposit (CDs) in the Indian money market, consider the following statements:
1. These instruments can be issued only in a dematerialised form.
2. All Scheduled Commercial Banks, including Regional Rural Banks and Local Area Banks, are eligible to issue CDs.
3. The maturity period for a CD must be between seven days and one year, inclusive.
How many of the statements given above are correct?","Only one","Only two","All three","None","A","Economy","Statement 1 is incorrect because CDs can be issued in dematerialised form 'or as a Promissory Note', not 'only' in dematerialised form. Statement 2 is incorrect as the source explicitly states that Scheduled Commercial Banks 'excluding Regional Rural Banks and Local Area Banks' can issue CDs. Statement 3 is correct; the maturity period is a minimum of 7 days and a maximum of one year. Therefore, only one statement is correct.","Certificates of Deposit are key money market instruments with specific rules regarding their form of issuance, eligible issuers (which exclude RRBs and LABs), and maturity tenure. Precision on these details is crucial.","Economy PT 365 2026.pdf","8","CD is a negotiable money market instrument and issued in dematerialised form or as a Promissory Note... Issued by: Scheduled commercial banks (excluding Regional Rural Banks and Local Area Banks)... Its maturity period is up to one year (min- 7 days).","88","Banking and Monetary Policy","Co-lending norms, Payment Aggregators, Ways and Means Advances (WMA), RBI Initiatives (ULI, CBDC, Tokenisation of CD)"
